data_year,county_fips,county_name,disease_slug,case_count,is_suppressed,data_source
2024,36011,Cayuga,typhoid-fever,0,0,annual-report-pdf
2024,36011,Cayuga,varicella,1,0,annual-report-pdf
2024,36011,Cayuga,vibriosis,2,0,annual-report-pdf
2024,36011,Cayuga,visa-staph,0,0,annual-report-pdf
2024,36011,Cayuga,west-nile-fever,0,0,annual-report-pdf
2024,36011,Cayuga,west-nile-virus,0,0,annual-report-pdf
2024,36011,Cayuga,yersiniosis,1,0,annual-report-pdf
2024,36013,Chautauqua,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36013,Chautauqua,amebiasis,0,0,annual-report-pdf
2024,36013,Chautauqua,anaplasmosis,0,0,annual-report-pdf
2024,36013,Chautauqua,babesiosis,0,0,annual-report-pdf
2024,36013,Chautauqua,blastomycosis,0,0,annual-report-pdf
2024,36013,Chautauqua,botulism,0,0,annual-report-pdf
2024,36013,Chautauqua,brucellosis,0,0,annual-report-pdf
2024,36013,Chautauqua,campylobacteriosis,33,0,annual-report-pdf
2024,36013,Chautauqua,candida-auris,1,0,annual-report-pdf
2024,36013,Chautauqua,chikungunya,0,0,annual-report-pdf
2024,36013,Chautauqua,chlamydia,344,0,annual-report-pdf
2024,36013,Chautauqua,cryptosporidiosis,3,0,annual-report-pdf
2024,36013,Chautauqua,cyclosporiasis,0,0,annual-report-pdf
2024,36013,Chautauqua,dengue-fever,0,0,annual-report-pdf
2024,36013,Chautauqua,diphtheria,0,0,annual-report-pdf
2024,36013,Chautauqua,e-coli-stec,4,0,annual-report-pdf
2024,36013,Chautauqua,ehrlichiosis,0,0,annual-report-pdf
2024,36013,Chautauqua,giardiasis,9,0,annual-report-pdf
2024,36013,Chautauqua,gonorrhea,121,0,annual-report-pdf
2024,36013,Chautauqua,haemophilus-influenzae,2,0,annual-report-pdf
2024,36013,Chautauqua,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36013,Chautauqua,hepatitis-a,0,0,annual-report-pdf
2024,36013,Chautauqua,hepatitis-b-acute,0,0,annual-report-pdf
2024,36013,Chautauqua,hepatitis-b-chronic,11,0,annual-report-pdf
2024,36013,Chautauqua,hepatitis-c-acute,1,0,annual-report-pdf
2024,36013,Chautauqua,hepatitis-c-chronic,58,0,annual-report-pdf
2024,36013,Chautauqua,influenza,1485,0,annual-report-pdf
2024,36013,Chautauqua,legionellosis,6,0,annual-report-pdf
2024,36013,Chautauqua,listeriosis,0,0,annual-report-pdf
2024,36013,Chautauqua,lyme-disease,116,0,annual-report-pdf
2024,36013,Chautauqua,malaria,0,0,annual-report-pdf
2024,36013,Chautauqua,measles,0,0,annual-report-pdf
2024,36013,Chautauqua,meningitis-aseptic,0,0,annual-report-pdf
2024,36013,Chautauqua,meningitis-bacterial,0,0,annual-report-pdf
2024,36013,Chautauqua,meningococcal,0,0,annual-report-pdf
2024,36013,Chautauqua,mumps,0,0,annual-report-pdf
2024,36013,Chautauqua,neonatal-herpes,0,0,annual-report-pdf
2024,36013,Chautauqua,pertussis,16,0,annual-report-pdf
2024,36013,Chautauqua,q-fever,0,0,annual-report-pdf
2024,36013,Chautauqua,rocky-mountain-spotted-fever,0,0,annual-report-pdf
2024,36013,Chautauqua,rsv,274,0,annual-report-pdf
2024,36013,Chautauqua,salmonellosis,17,0,annual-report-pdf
2024,36013,Chautauqua,shigellosis,1,0,annual-report-pdf
2024,36013,Chautauqua,strep-a-invasive,17,0,annual-report-pdf
2024,36013,Chautauqua,strep-b-invasive,15,0,annual-report-pdf
2024,36013,Chautauqua,strep-pneumo-invasive,15,0,annual-report-pdf
2024,36013,Chautauqua,syphilis-early,14,0,annual-report-pdf
2024,36013,Chautauqua,syphilis-late,17,0,annual-report-pdf
2024,36013,Chautauqua,tetanus,0,0,annual-report-pdf
2024,36013,Chautauqua,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36013,Chautauqua,tuberculosis,0,0,annual-report-pdf
2024,36013,Chautauqua,tularemia,0,0,annual-report-pdf
2024,36013,Chautauqua,typhoid-fever,0,0,annual-report-pdf
2024,36013,Chautauqua,varicella,1,0,annual-report-pdf
2024,36013,Chautauqua,vibriosis,0,0,annual-report-pdf
2024,36013,Chautauqua,visa-staph,0,0,annual-report-pdf
2024,36013,Chautauqua,west-nile-fever,0,0,annual-report-pdf
2024,36013,Chautauqua,west-nile-virus,0,0,annual-report-pdf
2024,36013,Chautauqua,yersiniosis,1,0,annual-report-pdf
2024,36015,Chemung,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36015,Chemung,amebiasis,0,0,annual-report-pdf
2024,36015,Chemung,anaplasmosis,31,0,annual-report-pdf
2024,36015,Chemung,babesiosis,5,0,annual-report-pdf
2024,36015,Chemung,blastomycosis,0,0,annual-report-pdf
2024,36015,Chemung,botulism,0,0,annual-report-pdf
2024,36015,Chemung,brucellosis,0,0,annual-report-pdf
2024,36015,Chemung,campylobacteriosis,28,0,annual-report-pdf
2024,36015,Chemung,candida-auris,0,0,annual-report-pdf
2024,36015,Chemung,chikungunya,0,0,annual-report-pdf
2024,36015,Chemung,chlamydia,317,0,annual-report-pdf
2024,36015,Chemung,cryptosporidiosis,8,0,annual-report-pdf
2024,36015,Chemung,cyclosporiasis,0,0,annual-report-pdf
2024,36015,Chemung,dengue-fever,0,0,annual-report-pdf
2024,36015,Chemung,diphtheria,0,0,annual-report-pdf
2024,36015,Chemung,e-coli-stec,4,0,annual-report-pdf
